Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
TSRTC - 8625,RAJDHANI (A.C. Semi Sleeper),21:00,01:00,04h 00m,389.0,35 Seats available,3.6,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TSRTC - 8619,RAJDHANI (A.C. Semi Sleeper),22:00,02:00,04h 00m,389.0,35 Seats available,4.0,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TSRTC - 64593,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:30,02:25,03h 55m,320.0,28 Seats available,4.7,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TSRTC - 8827,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:55,03:20,04h 25m,320.0,19 Seats available,4.8,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TSRTC - 8644,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:10,03:20,04h 10m,320.0,27 Seats available,3.9,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TSRTC - 8992,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:25,03:20,03h 55m,320.0,19 Seats available,4.7,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TSRTC - 64008,RAJDHANI (A.C. Semi Sleeper),23:35,03:35,04h 00m,389.0,27 Seats available,4.3,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TSRTC - 8805,RAJDHANI (A.C. Semi Sleeper),23:45,03:30,03h 45m,389.0,16 Seats available,3.7,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TSRTC - 1323,Lahari A/C sleeper,23:55,03:30,03h 35m,389.0,36 Seats available,3.8,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TSRTC - 8600,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:55,05:20,05h 25m,320.0,31 Seats available,4.6,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
